pdf_file,extracted_answer
Immunosuppressive_therapy_for_kidney_transplant_in_adults.pdf,NULL
Midostaurin_for_treating_advanced_systemic_mastocytosis.pdf,"1. Yes. This is the first licensed genetically-targeted therapeutic agent targeted against the principal driver mutation underlying SM. The SM population is particularly poorly-served by existing available medications. The population has very many unmet needs ranging across the different clinical manifestations of SM. The results of the phase 2 studies suggest superior clinical efficacy (in comparison to historical data from existing treatments such as cladribine and interferon) ranging across the different manifestations including symptom control and measures that reflect levels of abnormal mast cell infiltration (blood transfusion need, liver function, regaining lost weight, bone lesions etc.).

2. Yes – as discussed this is currently the only targeted drug with proven efficacy in patients with advanced SM. The 1-2 other treatments available are non-targeted and have significant side effects. Yes. At present the alternative cytoreductive agents are not disease modifying whereas midostaurin is. Yes – as discussed above in sections 9 & 10."
Pegylated_liposomal_irinotecan_for_treating_pancreatic_cancer_after_gemcitabine.pdf,NULL
Mepolizumab_for_treating_severe_eosinophilic_asthma.pdf,"1. Highly innovative and remarkably successful. Has largely replaced the use of regular oral corticosteroids in severe asthma. Some patients also notice an improvement in upper airway symptoms (i.e. those due to nasal polyps, a common comorbidity)."
Axicabtagene_ciloleucel_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_first-line_chemoimmunotherapy.pdf,"1. Yes. CAR T therapy is a revolutionary treatment which has produced impressive results in previously untreatable cancers. It represents a major innovation in cancer immunotherapy and in our ability to treat cancers without resorting to intensive chemotherapy or stem cell transplants. It is currently commissioned in 3rd line treatment setting. YES. It is already currently commissioned in 3rd line treatment setting. Yes. For transplant ineligible patients it offers the chance of improved survival and potential cure without added toxicity of high dose chemotherapy and stem cell transplant.

2. Yes. Is the technology a 'step-change' in the management of the condition? Does the use of the technology address any particular unmet need of the patient population?

3. Yes. CAR T therapy is a revolutionary treatment which has produced impressive results in previously untreatable cancers. It represents a major innovation in cancer immunotherapy and in our ability to treat cancers without resorting to intensive chemotherapy or stem cell transplants. It is currently commissioned in 3rd line treatment setting.
- YES. Intensive chemotherapy followed by autologous stem cell transplant consolidation for patients with chemo-sensitive disease was established as standard of care for relapsed DLBCL in 1995 based on a small randomised study. With addition of rituximab to 1st line chemotherapy a high proportion of patients have chemorefractory disease at relapse. This is the 1st phase 3 randomised study since 1995 to show improved outcomes for relapsed/refractory DLBCL with a new treatment compared to current SOC. CAR T therapy is already currently commissioned in 3rd line treatment setting."
"Dasatinib,_nilotinib_and_high-dose_imatinib_for_treating_imatinib-resistant_or_intolerant_chronic_myeloid_leukaemia.pdf",NULL
Tafasitamab_with_lenalidomide_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma.pdf,"1. Yes, we consider the technology to be innovative in its potential to make a significant and substantial impact on health-related benefits and it will improve the way that current need is met. Patients have prolonged PFS and OS – especially if achieve CR or less prior treatments. A cohort of patients may be bridged to a curative line of therapy (CAR-T or allogeneic stem cell transplantation).

2. Yes we consider the technology to be innovative in its potential to make a significant and substantial impact on health-related benefits and it will improve the way that current need is met.

Patients have prolonged PFS and OS – especially if achieve CR or less prior treatments.

A cohort of patients may be bridged to a curative line of therapy (CAR-T or allogeneic stem cell transplantation).

Yes this is another part of a ‘step-change’ in the management of the condition."
Larotrectinib_for_treating_NTRK_fusion-positive_solid_tumours.pdf,"1. Yes. Enhances stratified approach to treatment. For tumor types in which stratified approach to therapy is not currently standard of care, yes. Less so for tumor types for which treatment (for some patients) is already based on CDx testing, although even in these conditions, NTRK-positive patients are currently treated with standard chemotherapy, so this is a step change in that sense.

2. Yes. There is a precedent for the use of genomically-targeted therapies in some rare and common cancers, however due to mutual exclusivity of “driver” mutations these therapies would not be available to patients with NTRK-positive tumors, so in that sense the technology would be a step change for this genomic subtype of cancer. Limited therapeutic options.

3. Larotrectinib is considered innovative. The technical team, company, and the NHS England and NHS Improvement National Clinical Lead for the Cancer Drugs Fund recognize the innovative potential, particularly since the adoption of larotrectinib depends on innovation and development in testing infrastructure. Despite the short follow-up and immature survival data from the trials, the company considers larotrectinib to be an innovation, likely due to its capabilities to extend life and meet the end-of-life criteria, suggesting a median progression-free survival increase compared to current treatments. Moreover, adjustments in genetic testing and treatment processing are expected to take a few years, indicating ongoing developments to enhance treatment efficacy and precision.

4. The response to the question about the technology's potential for significant health-related benefits and improvements over current needs is addressed in the first image, where the company highlights several points:

1. The company understands the histology-independent nature of larotrectinib and the rarity of NTRK gene fusion cancers present unique orthodoxy challenges to the traditional technology assessment process.
2. They believe that ""consideration of response by tumour location only serves as a distraction and introduces the potential for decision-making to be based on chance findings.""
3. The company disagrees with claims that decision-making based on tumour site effects is beneficial, asserting instead that larotrectinib has a ""large magnitude of effect irrespective of tumour site.""
4. Concerns regarding the BHM (Bayesian Hierarchical Model) methodology are mentioned, especially relating to the limited data and perceived inadequacies in the proposed statistical models.
5. It suggests that the response-based model requires surrogacy between response and survival, which the company argues is unsupported by evidence.

In summary, the company posits that the technological and methodological approach of larotrectinib challenges traditional assessment frameworks due to its broad and histology-independent efficacy, implying a significant potential to improve treatment paradigms across diverse tumour types irrespective of location.

5. The response to the question regarding the innovative potential of larotrectinib and its impact on health-related benefits as per the images can be summarized as follows:

Larotrectinib is claimed to represent a significant innovation in cancer treatment, potentially offering a paradigm shift in how cancer is managed by transitioning from tumor location to delivering treatment based on genetic identification (specifically NTRK fusions). This approach is seen as a step forward in precision medicine, capable of targeting specific biologically relevant markers across a broad range of tumor types, thereby providing an effective treatment option that can be less disruptive to patients' lives compared to traditional methods.

The company argues that larotrectinib's contribution to innovative treatment includes its ability to treat both adults and children within one indication, selectively inhibit specific kinases involved in tumor growth (TRKA, TRKB, and TRKC) without off-target effects, and its provision as an oral medication that avoids more invasive procedures affecting the patients' schooling and parenting roles.

Despite acknowledging these innovative aspects, the technical teams iteratively express concerns regarding the robustness and completeness of clinical data supporting the drug's effectiveness and cost-effectiveness, particularly for unmet needs, unrepresented tumor types, and broader end-of-life criteria. Consequently, while recognizing the potential innovation larotrectinib brings, concerns about data sufficiency and economic feasibility temper a fully supportive stance for widespread recommendation or funding approval without further evidential support."
"Olaparib_for_maintenance_treatment_of_BRCA_mutation-positive_advanced_ovarian,_fallopian_tube_or_peritoneal_cancer_after_response_to_first-line_platinum-based_chemotherapy.pdf","1. Studies show the drug has potential to significantly improve progression-free survival in patients with advanced ovarian cancer. This with the facts that the drug is used with oral administration and has relatively tolerable side effects present improvements to current practice. This is one example of targeted therapy and personalized medicine which is the current and future direction for cancer therapy. It is an additional potentially effective tool in management of recurrent disease.

2. Simple answer – yes. The improvement in survival seen with olaparib is clinically highly significant and important."
Daratumumab_with_lenalidomide_and_dexamethasone_for_untreated_multiple_myeloma_when_a_stem_cell_transplant_is_unsuitable.pdf,"1. Daratumumab is an innovative therapy which has become a key treatment in the myeloma pathway. It is available for newly diagnosed patients who are eligible for HDT-SCT. We would like to see daratumumab with this mechanism of action available for all newly diagnosed myeloma patients.

2. Yes, this is the first in class monoclonal antibody to be licenced in multiple myeloma. Its use in first line treatment induces increased depth and durability of response reducing both morbidity and overall survival in what still remains a generally incurable but increasingly chronic disease.

3. This technology is a “game changer” in terms of advancing the disease control for patients with myeloma, limiting disease-related morbidity, and improving survivorship."
Trifluridine–tipiracil_with_bevacizumab_for_treating_metastatic_colorectal_cancer_after_2_systemic_treatments.pdf,NULL
Pembrolizumab_for_adjuvant_treatment_of_completely_resected_stage_3_melanoma.pdf,"1. Melanoma is the 5th most common cancer and its incidence is related to age, however, unlike other cancers, there is a large increase in the younger working age groups (7-8 fold in the 15-24 year age group). There is a growing population of melanoma patients who are younger in age with the majority of their life ahead of them. Immunotherapies are innovative treatments that have revolutionized melanoma treatment over the last 5-10 years, initially in the metastatic setting and now in the adjuvant setting. Yes – but as mentioned - already being used via CDF. Risk of relapse from melanoma.

2. It is already standard of care. Further work is now needed to better identify who needs treatment and who does not. Yes. For years adjuvant studies had little impact on RFS. This technology has shown a clinically meaningful reduction in the risk of recurrence. Patients value time without relapse, even if the overall outcome is the same. Time spent cancer free is associated with better quality of life.

3. Yes. The improvement in RFS for pembrolizumab in stage III disease is groundbreaking. Especially when compared to marginal benefits for approved agents in similar diseases (breast cancer etc.). The relapse rate for stage 3 melanoma is high and the morbidity and mortality associated with relapse is a significant burden. This is particularly so for the younger peak in melanoma incidence in the working age population. Prior to this technology development this population only had watchful waiting/surveillance. Currently patients with stage 3 disease are treated with surgical resection and surveillance. This population has a high risk of relapse with local, regional and distant metastatic disease. Relapse is associated with the need for further treatment (surgical, SACT) and significant impact of overall survival. Reducing relapse in this population is a key unmet need. Further to this, we have had access to this technology for two years now and built up clinical experience with safe and effective delivery to address the unmet need in the community."
Sofosbuvir–velpatasvir_for_treating_chronic_hepatitis_C.pdf,NULL
Pentosan_polysulfate_sodium_for_treating_bladder_pain_syndrome.pdf,1. The condition is under recognised and under treated – I think the ability to use this more freely should improve this. Yes.
Cabozantinib_for_previously_treated_advanced_hepatocellular_carcinoma.pdf,"1. Yes, the technology is innovative, and would lead to a statistically significant and clinically meaningful increase in median overall survival.

2. Is the technology a 'step-change' in the management of the condition?
Does the use of the technology address any particular unmet need of the patient population?

3. The technology is likely to be better tolerated than regorafenib in those that are intolerant of sorafenib and therefore this drug has broader applicability.

4. The images provided do not contain a response to the question in question 18 about whether the technology is considered innovative in its potential to make a significant and substantial impact on health-related benefits. Thus, there is no response to extract from these images."
Selective_internal_radiation_therapy_with_QuiremSpheres_for_treating_unresectable_advanced_hepatocellular_carcinoma.pdf,NULL
Pembrolizumab_for_untreated_PD-L1-positive_metastatic_non-small-cell_lung_cancer.pdf,"1. Is the technology a 'step-change' in the management of the condition?

Does the use of the technology address any particular unmet need of the patient population?

2. Yes, this represents a dramatic step forwards for the management of NSCLC.

3. Yes. The technology offers a new treatment option which is superior to standard care in the correct patient population. Immune modulation offers a new therapeutic strategy for the treatment of NSCLC. Yes it provides an additional targeted therapy as discussed above. The drug is well tolerated in comparison to standard care."
Risdiplam_for_treating_spinal_muscular_atrophy.pdf,"1. This is the first oral medication for SMA that increases the translation of SMN2. It is an easily administered oral medication with little in the way of infrastructure costs for its introduction. Yes, there are no easily administered oral medications for SMA.

2. The use of an oral drug to modify gene splicing is highly innovative. The increase in production of SMN is increasingly recognized to be a key therapeutic target for SMA, and this drug clearly achieves this aim.

3. The use of an oral drug to modify gene splicing is highly innovative. Treatment with Risdiplam has shown to meet the primary efficacy endpoints in clinical trials for SMA I, II, and III. Risdiplam can address the unmet need of the population of SMA currently unable to obtain Nusinersen, or those in whom the administration of Nusinersen is particularly complex. The way of administration (daily oral administration at home instead of regular intrathecal administrations in hospital) may represent a much easier and more desirable way of use for patients and healthcare professionals.

4. Yes, for reasons already stated. Particular relevance in those who cannot access Nusinersen for both patient specific (complex spines, high risk GA) and MAA criteria (those with type 3a who have lost ambulation) or service related (lack of treatment capacity or interventional radiology support).

5. Yes, access to treatment for a condition otherwise managed by supportive care."
Eptinezumab_for_preventing_migraine.pdf,"1. Yes: It is one of the CGRP monoclonal antibodies that are the first ever migraine specific preventive treatment for migraine (both episodic and chronic) which targets the underlying biology of migraine. It offers preventative treatment with a side effect profile is better, and a dosing regimen that is far more attractive than existing treatments which will improve compliance, drop-out rates and quality of life.

2. We have seen significant improvement of up to 80% in the current CGRP mAb and anticipate a similar response to Eptinezumab. Like other CGRP MAB, it is a migraine-specific preventive treatment that is well tolerated and have a side effect profile similar to placebo. The three monthly dosing is easier and will improve compliance and better monitoring would be possible."
Risankizumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,NULL
Enzalutamide_for_hormone-relapsed_non-metastatic_prostate_cancer.pdf,1. There is a large DFS benefit but no QOL or OS benefit shown to date and therefore we would not consider this a significant and substantial improvement for patients. No. It may represent an incremental improvement but is not a step change.
Pralsetinib_for_treating_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,"1. Yes. This is a novel, RET-specific targeted drug, and as such is innovative. Please see section 14 for comments of Quality of Life. Yes. No current RET-specific drugs are available. Early attempts at targeting RET used drugs which were no specific for RET, and so were troubled by reduced efficacy and significant toxicity. Both Pralsetinib and Selpercatinib are step-changes in the management of RET+ lung cancer. Targeting driver mutations in lung cancer (EGFR, ALK, ROS1) has been conclusively shown to be the optimal management strategy. Yes. There is no RET-specific drug available on the NHS for the treatment of RET+ lung cancer.

2. I agree with my BTOG expert colleague: “Yes, This is a novel, RET-specific targeted drug, and as such is innovative.”
I would suggest it and selpercatinib (the other RET inhibitor under NICE evaluation) are both step-changes in the management of the condition, and hence agree with my BTOG expert colleague that “Both Pralsetinib and Selpercatinib are step-changes in the management of RET+ lung cancer.”
However, only pralsetinib has a license for the treatment naive setting and hence, must be considered a unique “step change” in this setting.
Unmet need: Yes, RET-positive NSCLC is a rapidly fatal cancer with no current targeted treatments NHS funded."
Paclitaxel_as_albumin-bound_nanoparticles_with_gemcitabine_for_untreated_metastatic_pancreatic_cancer.pdf,"1. While the health-related benefits to patients should be captured in the QALY, the fact that nab-P/Gem offers a licensed treatment option with an innovative mechanism of action proven to improve life expectancy for patients with mPAC should be considered a ‘step-change’ in the management of this condition with extremely high unmet need. Furthermore, the more emotional aspects of an extension to life and the benefit of a life-extending medicine to the family and friends of a patient with a life-threatening malignancy should be considered, and these will not be captured in the QALY. These benefits were recognised by Pancreatic Cancer UK as part of their Two More Months campaign, launched in February 2014, in an attempt to ensure nab-P was available for use via the NHS across the UK. This campaign illustrates how access to nab-P could give mPAC patients and their families the ability to achieve particular personal ambitions at the end of their life. More broadly, preventing people from dying prematurely is one of the NHS Outcomes Framework measures for 2016–2017, and access to novel medicines for cancer provides wider societal reassurance that the NHS remains true to the promise of healthcare for all.

2. The Committee understood that nab-paclitaxel is a novel formulation of paclitaxel and that there was a high level of unmet need in this disease area. However, the Committee considered that all health-related benefits had been adequately captured by the quality-adjusted life years (QALYs) in the model, and it agreed that nab-paclitaxel did not offer a step change in the treatment of metastatic pancreatic cancer."
Venetoclax_for_treating_chronic_lymphocytic_leukaemia.pdf,"1. There is no doubt that Venetoclax therapy has made a huge contribution to PFS, quality and quantity of life in CLL. It will continue to be used either alone or in combination with other small molecules or antibodies at all stages of disease.

Current trials should help further define the optimal sequencing, drug partners and duration (fixed vs intermittent vs continuous) of both Venetoclax and the B-cell receptor inhibitors."
Ledipasvir–sofosbuvir_for_treating_chronic_hepatitis_C.pdf,NULL
Dapagliflozin_for_treating_chronic_kidney_disease.pdf,"1. We consider that the indication for Dapagliflozin in proteinuric CKD management is a major therapeutic breakthrough, with unique benefits to the non-diabetic population. As stated above, the impact is likely to exceed that seen with the introduction of RAAS inhibitors several decades ago. ESKD confers huge reductions in patient QoL, and as such any agents demonstrated to significantly impact this will address this."
Degarelix_for_treating_advanced_hormone-dependent_prostate_cancer.pdf,NULL
Sorafenib_for_treating_advanced_hepatocellular_carcinoma.pdf,NULL
Epcoritamab_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,"1. The response to the queried question does not appear directly in the text extracted from the images provided. The information in the images focuses on detailed economic analyses and assumptions used in a pharmaceutical evaluation document but does not explicitly address the question about the technology's innovativeness or its potential health-related impact as discussed in the query. The content primarily pertains to economic models used for assessing a specific therapy for a lymphoma condition, but does not give a direct answer on how the technology might improve currently met needs in a broader, innovative context. Further details or a direct response may be present in other sections of the document not visible in these images.

2. Yes - this is an innovative technology. It represents a new class of treatment available for patients with relapsed/refractory high grade B NHL and has the potential to induce durable remissions in a group of patients with no clear treatment options currently. This technology represents a paradigm shift in the management of R/R DLBCL, particularly post CAR-T cell relapses and in patients unsuitable for CAR-T treatment.

3. Yes. This treatment can induce durable Complete responses in a group of patients for which no standard of care options are available post CAR-T and also allows a highly effective treatment option for patients unsuitable for CAR-T or who do not want to travel to regional CAR-T centres. This represents a step-change.

4. Bispecific antibodies are innovative and allow the benefits of lymphoma response by T cell activation without the need for apheresis, manufacture, and long inpatient stays for patients. It also allows true “intention to treat” data whereby you would be able to see the patient in clinic and if eligible start treatment within a few days. This technology allow access irrespective of geography in the UK and also access for those patients who have rapid progression of lymphoma who are not stable enough to wait for CAR T manufacture. Step up dosing mitigates against CRS and is all done as an outpatient. At first full dose an overnight stay is required to monitor or treat for CRS (or a long day until day) but the patients' quality of life is otherwise good for this targeted treatment."
Aflibercept_for_treating_visual_impairment_caused_by_macular_oedema_after_branch_retinal_vein_occlusion.pdf,NULL
Pembrolizumab_with_trastuzumab_and_chemotherapy_for_untreated_locally_advanced_unresectable_or_metastatic_HER2-positive_gastric_or_gastro-oesophageal_junction_adenocarcinoma.pdf,"1. It has improved our current most beneficial regimen, therefore, is regarded as a step change."
Ofatumumab_for_treating_relapsing_multiple_sclerosis.pdf,"1. The technology is innovative in its mode of delivery as a subcutaneous injection. Ocrelizumab, which is a licensed anti-CD20 monoclonal antibody, is delivered by 6 monthly infusions. B cell repopulation after treatment with ofatumumab is more rapid than following treatment with ocrelizumab. This may be a significant advantage if there are further waves of Covid 19 or localised Covid outbreaks and for the efficacy of future vaccines. More flexible high efficacy treatment delivered in the home setting. There is an unmet need for people with MS to have access to a new effective treatment without a significant risk of PML or life-long autoimmune conditions.

2. The technology is innovative in its mode of delivery as a subcutaneous injection. Ocrelizumab which is a licensed anti-CD20 monoclonal antibody is delivered by 6 monthly infusions. B cell repopulation after treatment with ofatumumab is reported to be more rapid than following treatment with ocrelizumab. The median time to B cells repletion to the lower limit of normal (LLN) with ofatumumab is predicted to be 40 weeks in comparison with a median repletion time of 72 weeks with ocrelizumab. This may be a significant advantage if there are further waves of Covid-19 or localised Covid-19 outbreaks and for the efficacy of future vaccines. The faster repletion of the B cell population may also allow more women of child-bearing age to access anti-CD20 therapy. Currently in the UK women with MS are advised to use contraception for 12 months after the last infusion with ocrelizumab. The current recommendation for ofatumumab is for the use of effective contraception for 6 months after treatment."
