Title,Recommendation text,Decision
Ublituximab for treating relapsing multiple sclerosis,"Ublituximab is recommended as an option for treating relapsing forms of multiple sclerosis, defined as active by clinical or imaging features in adults, only if: the multiple sclerosis is relapsing–remitting, and the company provides it according to thecommercial arrangement. | Use the least expensive option of the available treatments (including ublituximab, ocrelizumab and ofatumumab). Take account of administration costs, dosages, price per dose and commercial arrangements. If the least expensive option is unsuitable, people with the condition and their healthcare professional should discuss the advantages and disadvantages of other treatments. | This recommendation is not intended to affect treatment with ublituximab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Elranatamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,"Elranatamab is recommended withmanaged accessas an option for treating relapsed and refractory multiple myeloma in adults, only after 3 or more lines of treatment (including an immunomodulatory drug, a proteasome inhibitor and an anti‑CD38 antibody) when the multiple myeloma has progressed on the last treatment. It is only recommended if the conditions in themanaged access agreementfor elranatamab are followed. | This recommendation is not intended to affect treatment with elranatamab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Approved
Toripalimab with chemotherapy for untreated advanced oesophageal squamous cell cancer (terminated appraisal),Recommendation Not Found,Rejected
Crizotinib for treating ROS1-positive advanced non-small-cell lung cancer,"Crizotinib is recommended as an option for treating ROS1-positive advanced non-small-cell lung cancer in adults, only if: they have not had ROS1 inhibitors the company provides it according to thecommercial arrangement. | Use the least expensive option of the available treatments (including crizotinib and entrectinib). Take account of administration costs, dosages, price per dose and commercial arrangements. If the least expensive option is unsuitable, people with the condition and their healthcare professional should discuss the advantages and disadvantages of other treatments. | This recommendation is not intended to affect treatment with crizotinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Bevacizumab gamma for treating wet age-related macular degeneration,"Bevacizumab gamma is recommended as an option for treating wet age-related macular degeneration in adults, only if: the eye has a best-corrected visual acuity between 6/12 and 6/96 there is no permanent structural damage to the central fovea the lesion size is 12 disc areas or less in greatest linear dimension there are signs of recent disease progression (for example, blood vessel growth as shown by fluorescein angiography, or recent visual acuity changes) the company provides it according to thecommercial arrangement. | Use the least expensive option of the available treatments (including bevacizumab gamma, aflibercept, faricimab and ranibizumab). Take account of administration costs, dosages, price per dose and commercial arrangements. If the least expensive option is unsuitable, people with the condition and their healthcare professional should discuss the advantages and disadvantages of other treatments. | Only continue bevacizumab gamma treatment if an adequate response is maintained. Criteria for stopping should include persistent deterioration in visual acuity and anatomical changes in the retina. | These recommendations are not intended to affect treatment with bevacizumab gamma that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Eplontersen for treating hereditary transthyretin-related amyloidosis,"Eplontersen is recommended, within its marketing authorisation, as an option for treating hereditary transthyretin-related amyloidosis in adults with stage 1 or stage 2 polyneuropathy. It is only recommended if the company provides eplontersen according to thecommercial arrangement. | Use the least expensive option of the available treatments (including eplontersen and vutrisiran). Take account of administration costs, dosages, price per dose and commercial arrangements. If the least expensive option is unsuitable, people with the condition and their healthcare professional should discuss the advantages and disadvantages of other treatments.",Approved
Pembrolizumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,"Pembrolizumab is recommended, within its marketing authorisation, as an option for neoadjuvant treatment with platinum-based chemotherapy, then continued alone as adjuvant treatment, for resectable non-small-cell lung cancer (NSCLC) with a high risk of recurrence in adults. Pembrolizumab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Fedratinib for treating disease-related splenomegaly or symptoms in myelofibrosis,"Fedratinib is recommended as an option for treating disease-related splenomegaly or symptoms of primary myelofibrosis, post-polycythaemia vera myelofibrosis or post-essential thrombocythaemia myelofibrosis. It is recommended for adults, only if: they have had ruxolitinib, and momelotinib is unsuitable, and the company provides fedratinib according to the commercial arrangement. | This recommendation is not intended to affect treatment with fedratinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Crovalimab for treating paroxysmal nocturnal haemoglobinuria in people 12 years and over,"Crovalimab is recommended, within its marketing authorisation, as an option for treating paroxysmal nocturnal haemoglobinuria in people 12 years and over who weigh 40 kg or more. It is recommended for people who: have haemolysis with clinical symptoms indicating high disease activity are clinically stable after having a complement component 5 inhibitor for at least the past 6 months.Crovalimab is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional consider crovalimab to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account.",Approved
Elafibranor for previously treated primary biliary cholangitis,"Elafibranor is recommended, within its marketing authorisation, as an option for treating primary biliary cholangitis in adults, when used: with ursodeoxycholic acid (UDCA), if the primary biliary cholangitis has not responded well enough to UDCA, or alone, if UDCA cannot be tolerated.Elafibranor is only recommended if the company provides it according to thecommercial arrangement.",Approved
Alectinib for adjuvant treatment of ALK-positive non-small-cell lung cancer,"Alectinib is recommended, within its marketing authorisation, as an option for the adjuvant treatment of stage 1B (tumours 4 cm or larger) to 3A ALK-positive non-small-cell lung cancer (NSCLC) after complete tumour resection in adults. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Teclistamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,"Teclistamab is recommended as an option for treating relapsed and refractory multiple myeloma in adults, only after 3 or more lines of treatment (including an immunomodulatory drug, a proteasome inhibitor and an anti-CD38 antibody) when the myeloma has progressed on the last treatment. It is only recommended if the company provides teclistamab according to thecommercial arrangement. | This recommendation is not intended to affect treatment with teclistamab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Approved
Avapritinib for treating advanced systemic mastocytosis,"Avapritinib is recommended, within its marketing authorisation, as an option for treating advanced systemic mastocytosis (including aggressive systemic mastocytosis, systemic mastocytosis with an associated haematological neoplasm and mast cell leukaemia) in adults. Avapritinib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Danicopan with ravulizumab or eculizumab for treating paroxysmal nocturnal haemoglobinuria,"Danicopan is recommended, as an add-on to ravulizumab or eculizumab as an option for treating paroxysmal nocturnal haemoglobinuria (PNH) in adults who have residual haemolytic anaemia, only if: they have clinically significant extravascular haemolysis while on treatment with a complement component 5 inhibitor (C5 inhibitor) and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with danicopan that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
"Quizartinib for induction, consolidation and maintenance treatment of newly diagnosed FLT3-ITD-positive acute myeloid leukaemia","Quizartinib is recommended, within its marketing authorisation, as an option for newly diagnosed FLT3‑ITD‑positive acute myeloid leukaemia (AML) in adults, when used: with standard cytarabine and anthracycline chemotherapy as induction treatment, then with standard cytarabine chemotherapy as consolidation treatment, then alone as maintenance treatment.Quizartinib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Belzutifan for treating tumours associated with von Hippel-Lindau disease,"Belzutifan is recommended withmanaged accessas an option for treating von Hippel-Lindau (VHL) disease in adults: who need treatment for VHL‑associated renal cell carcinomas, central nervous system hemangioblastomas or pancreatic neuroendocrine tumours, and when localised procedures are unsuitable or undesirable.It is only recommended if the conditions in themanaged access agreementfor belzutifan are followed. | This recommendation is not intended to affect treatment with belzutifan that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Approved
Latanoprost–netarsudil for previously treated primary open-angle glaucoma or ocular hypertension,"Latanoprost–netarsudil is recommended as an option for reducing intraocular pressure (IOP) in adults with primary open-angle glaucoma or ocular hypertension when a prostaglandin analogue alone has not reduced IOP enough, only if: they have then tried a fixed-dose combination treatment and it has not reduced IOP enough, or a fixed-dose combination treatment containing beta-blockers is unsuitable. | This recommendation is not intended to affect treatment with latanoprost–netarsudil that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Trifluridine–tipiracil with bevacizumab for treating metastatic colorectal cancer after 2 systemic treatments,"Trifluridine–tipiracil with bevacizumab is recommended, within its marketing authorisation, for treating metastatic colorectal cancer in adults who have had 2 lines of treatment (including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, antivascular endothelial growth factor or anti-epidermal growth factor receptor treatments). Trifluridine–tipiracil with bevacizumab is only recommended if the company provides trifluridine–tipiracil according to thecommercial arrangement.",Approved
"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer","Rucaparib is recommended, within its marketing authorisation, as an option for the maintenance treatment of relapsed platinum-sensitive high-grade epithelial, ovarian, fallopian tube or primary peritoneal cancer that has completely or partially responded to platinum-based chemotherapy in adults. Rucaparib is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional consider rucaparib to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account.",Approved
Empagliflozin for treating type 2 diabetes in people 10 to 17 years (terminated appraisal),Recommendation Not Found,Rejected
Evinacumab for treating homozygous familial hypercholesterolaemia in people 12 years and over,"Evinacumab alongside diet and other low-density lipoprotein-cholesterol (LDL‑C) lowering therapies is recommended, within its marketing authorisation, as an option for treating homozygous familial hypercholesterolaemia (HoFH) in people 12 years and over. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Exagamglogene autotemcel for treating transfusion-dependent beta-thalassaemia in people 12 years and over,"Exagamglogene autotemcel (exa‑cel) is recommended withmanaged accessas an option for treating transfusion-dependent beta-thalassaemia in people 12 years and over: when a haematopoietic stem cell transplant (HSCT) is suitable, but a human leukocyte antigen-matched related haematopoietic stem cell donor is not available only if the conditions in themanaged access agreementfor exa‑cel are followed.",Conditional
Faricimab for treating visual impairment caused by macular oedema after retinal vein occlusion,"Faricimab is recommended, within its marketing authorisation, as an option for treating visual impairment caused by macular oedema after central or branch retinal vein occlusion in adults. It is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional consider faricimab to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account.",Approved
Futibatinib for previously treated advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,"Futibatinib is recommended, within its marketing authorisation, as an option for treating locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that has progressed after at least 1 line of systemic treatment in adults. Futibatinib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Iptacopan for treating paroxysmal nocturnal haemoglobinuria,"Iptacopan is recommended, within its marketing authorisation, as an option for treating paroxysmal nocturnal haemoglobinuria (PNH) in adults with haemolytic anaemia. Iptacopan is only recommended if the company provides it according to thecommercial arrangement.",Approved
Zanubrutinib for treating marginal zone lymphoma after anti-CD20-based treatment,"Zanubrutinib is recommended, within its marketing authorisation, as an option for treating marginal zone lymphoma in adults who have had at least 1 anti‑CD20-based treatment. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Vibegron for treating symptoms of overactive bladder syndrome,"Vibegron is recommended as an option for treating the symptoms of overactive bladder syndrome in adults. It is only recommended if antimuscarinic medicines are not suitable, do not work well enough or have unacceptable side effects. | If people with the condition and their healthcare professional consider vibegron to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account. | This recommendation is not intended to affect treatment with vibegron that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Approved
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced HER2-negative gastric or gastro-oesophageal junction adenocarcinoma,"Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy is recommended, within its marketing authorisation, as an option for untreated locally advanced unresectable or metastatic HER2‑negative gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD‑L1 with a combined positive score (CPS) of 1 or more. Pembrolizumab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced oesophageal and gastro-oesophageal junction cancer,"Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy is recommended, within its marketing authorisation, as an option for untreated locally advanced unresectable or metastatic carcinoma of the oesophagus in adults whose tumours express PD‑L1 with a combined positive score (CPS) of 10 or more. Pembrolizumab is only recommended if the company provides it according to thecommercial arrangement.The recommendation for HER2‑negative gastro-oesophageal junction adenocarcinoma has been updated and replaced byNICE technology appraisal guidance on pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced HER2-negative gastric or gastro-oesophageal junction adenocarcinoma.",Approved
Risankizumab for treating moderately to severely active ulcerative colitis,"Risankizumab is recommended as an option for treating moderately to severely active ulcerative colitis in adults when conventional or biological treatment cannot be tolerated, or the condition has not responded well enough or has lost response to treatment, only if: a tumour necrosis factor (TNF)-alpha inhibitor: has not worked (that is the condition has not responded well enough or has lost response to treatment), orcannot be tolerated or is not suitable, and has not worked (that is the condition has not responded well enough or has lost response to treatment), or cannot be tolerated or is not suitable, and the company provides it according to thecommercial arrangement. | If people with the condition and their clinicians consider risankizumab to be 1 of a range of suitable treatments (including ustekinumab), after discussing the advantages and disadvantages of all the options, use the least expensive. Take into account the administration costs, dosage, price per dose and commercial arrangements. | These recommendations are not intended to affect treatment with risankizumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Relugolix for treating hormone-sensitive prostate cancer,"Relugolix is recommended, within its marketing authorisation, as an option for treating prostate cancer in adults: with advanced hormone-sensitive prostate cancer alongside radiotherapy for high-risk localised or locally advanced hormone-sensitive prostate cancer as neoadjuvant treatment before radiotherapy for high-risk localised or locally advanced hormone-sensitive prostate cancer.",Approved
Linzagolix for treating moderate to severe symptoms of uterine fibroids,"Linzagolix is recommended as an option for treating moderate to severe symptoms of uterine fibroids in adults of reproductive age only if: it is intended to be used for longer-term treatment (normally for more than 6 months and not for people who need short-term treatment, for example, before planned surgery) the following dosage is used: with hormonal add-back therapy (ABT): 200 mg once dailywithout hormonal ABT: 200 mg once daily for 6 months, then 100 mg once daily. with hormonal add-back therapy (ABT): 200 mg once daily without hormonal ABT: 200 mg once daily for 6 months, then 100 mg once daily. | This recommendation is not intended to affect treatment with linzagolix that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Enzalutamide for treating non-metastatic prostate cancer after radical prostatectomy or radiotherapy (terminated appraisal),Recommendation Not Found,Rejected
Abaloparatide for treating osteoporosis after menopause,"Abaloparatide is recommended as an option for treating osteoporosis after menopause in women, trans men and non-binary people, only if they have a very high risk of fracture (seesection 3.2). It is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional consider abaloparatide, romosozumab and teriparatide to be suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive suitable treatment should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account. | This recommendation is not intended to affect treatment with abaloparatide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Burosumab for treating X-linked hypophosphataemia in adults,"Burosumab is recommended, within its marketing authorisation, as an option for treating X‑linked hypophosphataemia (XLH) in adults. Burosumab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Trastuzumab deruxtecan for treating HER2-low metastatic or unresectable breast cancer after chemotherapy,"Trastuzumab deruxtecan is not recommended, within its marketing authorisation, for treating HER2‑low metastatic or unresectable breast cancer in adults after: chemotherapy in the metastatic setting or recurrence during adjuvant chemotherapy or within 6 months after finishing it. | This recommendation is not intended to affect treatment with trastuzumab deruxtecan that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
"Ivacaftor–tezacaftor–elexacaftor, tezacaftor–ivacaftor and lumacaftor–ivacaftor for treating cystic fibrosis","Ivacaftor–tezacaftor–elexacaftor (IVA–TEZ–ELX) plus ivacaftor (IVA) alone is recommended within its marketing authorisation, as an option for treating cystic fibrosis in people 2 years and over who have at least 1 F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene. | Tezacaftor–ivacaftor (TEZ–IVA) plus IVA alone is recommended, within its marketing authorisation, for treating cystic fibrosis in people 6 years and over who have: 2 copies of the CFTR gene with F508del mutations, or a copy of the CFTR gene with an F508del mutation and a copy of the CFTR gene with 1 of the mutations listed insection 2.2. | Lumacaftor–ivacaftor (LUM–IVA) is recommended, within its marketing authorisation, for treating cystic fibrosis in people 1 year and over who have 2 copies of the CFTR gene with F508del mutations. | IVA–TEZ–ELX, TEZ–IVA and LUM–IVA are only recommended if the company provides them according to thecommercial arrangement.",Approved
Etranacogene dezaparvovec for treating moderately severe or severe haemophilia B,Etranacogene dezaparvovec is recommended withmanaged accessas an option for treating moderately severe or severe haemophilia B (congenital factor IX [FIX] deficiency) in adults without anti‑FIX antibodies. It is only recommended if the conditions in themanaged access agreementfor etranacogene dezaparvovec are followed.,Approved
Tenecteplase for treating acute ischaemic stroke,"Tenecteplase is recommended, within its marketing authorisation, as an option for the thrombolytic treatment of an acute ischaemic stroke in adults: within 4.5 hours of the onset of stroke symptoms, and when intracranial haemorrhage has been excluded. | Use the least expensive option of the available treatments (including tenecteplase and alteplase). Take account of administration costs, dosages, price per dose and commercial arrangements. If the least expensive option is unsuitable, people with the condition, their family or carers, and their healthcare professional should discuss the advantages and disadvantages of other treatments.",Approved
Lebrikizumab for treating moderate to severe atopic dermatitis in people 12 years and over,"Lebrikizumab is recommended as an option for treating moderate to severe atopic dermatitis that is suitable for systemic treatment in people 12 years and over with a body weight of 40 kg or more, only if: the atopic dermatitis has not responded to at least 1 systemic immunosuppressant or these treatments are not suitable, and dupilumab or tralokinumab would otherwise be offered, and the company provides it according to thecommercial arrangement. | Stop lebrikizumab after 16 weeks if the atopic dermatitis has not responded adequately. An adequate response is: at least a 50% reduction in the Eczema Area and Severity Index score (EASI 50) from when treatment started and at least a 4‑point reduction in the Dermatology Life Quality Index (DLQI) from when treatment started. | Take into account how skin colour could affect the EASI score and make any clinical adjustments needed. | Take into account any physical, sensory or learning disabilities, or communication difficulties that could affect the responses to the DLQI, and make any clinical adjustments needed. | If people with the condition and their healthcare professionals consider lebrikizumab to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosage, price per dose and commercial arrangements should all be taken into account. | These recommendations are not intended to affect treatment with lebrikizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop. For young people, this decision should be made jointly by the healthcare professional, the young person, and their parents or carers.",Conditional
Lisocabtagene maraleucel for treating relapsed or refractory aggressive B-cell non-Hodgkin lymphoma (terminated appraisal),Recommendation Not Found,Rejected
Selective internal radiation therapy with QuiremSpheres for treating unresectable advanced hepatocellular carcinoma,"The selective internal radiation therapy (SIRT) QuiremSpheres is recommended as an option for treating unresectable advanced hepatocellular carcinoma (HCC) in adults, only if it is: used for people with Child–Pugh grade A liver impairment when conventional transarterial therapies are inappropriate, and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with QuiremSpheres that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
