Title,Decision,Decision_Date
"Olaparib for maintenance treatment of BRCA mutation-positive advanced ovarian, fallopian tube or peritoneal cancer after response to first-line platinum-based chemotherapy",Approved,2024-03-28
Human alpha1-proteinase inhibitor for treating emphysema (terminated appraisal),Rejected,2024-03-28
Ritlecitinib for treating severe alopecia areata in people 12 years and over,Approved,2024-03-27
Daratumumab in combination for treating newly diagnosed systemic amyloid light-chain amyloidosis,Conditional,2024-03-27
Satralizumab for preventing relapses in neuromyelitis optica spectrum disorders (terminated appraisal),Rejected,2024-03-27
Momelotinib for treating myelofibrosis-related splenomegaly or symptoms,Conditional,2024-03-20
"Nirmatrelvir plus ritonavir, sotrovimab and tocilizumab for treating COVID-19",Conditional,2023-03-29
Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema,Conditional,2024-03-13
Dupilumab for treating moderate to severe prurigo nodularis,Rejected,2024-03-13
Etrasimod for treating moderately to severely active ulcerative colitis in people aged 16 and over,Approved,2024-03-11
Epcoritamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,Conditional,2024-03-06
Talazoparib for treating HER2-negative advanced breast cancer with germline BRCA mutations,Approved,2024-02-21
Belumosudil for treating chronic graft-versus-host disease after 2 or more systemic treatments in people 12 years and over,Conditional,2024-02-07
Nivolumab–relatlimab for untreated unresectable or metastatic melanoma in people 12 years and over,Conditional,2024-02-07
Olaparib with abiraterone for untreated hormone-relapsed metastatic prostate cancer,Approved,2024-02-07
Loncastuximab tesirine for treating relapsed or refractory diffuse large B-cell lymphoma and high-grade B-cell lymphoma after 2 or more systemic treatments,Conditional,2024-01-31
Ivosidenib for treating advanced cholangiocarcinoma with an IDH1 R132 mutation after 1 or more systemic treatments,Approved,2024-01-31
Treosulfan with fludarabine before allogeneic stem cell transplant for people aged 1 month to 17 years with non-malignant diseases (terminated appraisal),Rejected,2024-01-30
"Olaparib with bevacizumab for maintenance treatment of advanced high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer",Approved,2024-01-17
Durvalumab with gemcitabine and cisplatin for treating unresectable or advanced biliary tract cancer,Approved,2024-01-10
Targeted-release budesonide for treating primary IgA nephropathy,Conditional,2023-12-20
Ravulizumab for treating generalised myasthenia gravis (terminated appraisal),Rejected,2023-12-20
Ravulizumab for treating AQP4 antibody-positive neuromyelitis optica spectrum disorder (terminated appraisal),Rejected,2023-12-20
Empagliflozin for treating chronic kidney disease,Conditional,2023-12-20
Hybrid closed loop systems for managing blood glucose levels in type 1 diabetes,Rejected,2023-12-19
Risdiplam for treating spinal muscular atrophy,Conditional,2021-12-16
"Pembrolizumab plus chemotherapy with or without bevacizumab for persistent, recurrent or metastatic cervical cancer",Conditional,2023-12-13
Dupilumab for treating eosinophilic oesophagitis in people 12 years and over (terminated appraisal),Rejected,2023-12-07
Secukinumab for treating moderate to severe hidradenitis suppurativa,Conditional,2023-12-06
Idecabtagene vicleucel for treating relapsed and refractory multiple myeloma after 3 or more treatments (terminated appraisal),Rejected,2023-11-30
Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),Rejected,2023-11-29
Foslevodopa–foscarbidopa for treating advanced Parkinson’s with motor symptoms,Conditional,2023-11-29
Decitabine–cedazuridine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable (terminated appraisal),Rejected,2023-11-23
Zanubrutinib for treating chronic lymphocytic leukaemia,Conditional,2023-11-22
Lutetium-177 vipivotide tetraxetan for treating PSMA-positive hormone-relapsed metastatic prostate cancer after 2 or more treatments,Rejected,2023-11-15
Empagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,Approved,2023-11-01
Cabozantinib for previously treated advanced differentiated thyroid cancer unsuitable for or refractory to radioactive iodine,Rejected,2023-11-01
Ranibizumab for treating diabetic macular oedema,Rejected,2013-02-27
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma when a stem cell transplant is unsuitable,Approved,2023-10-25
Tirzepatide for treating type 2 diabetes,Conditional,2023-10-25
Baricitinib for treating severe alopecia areata,Rejected,2023-10-25
Mirikizumab for treating moderately to severely active ulcerative colitis,Conditional,2023-10-25
Tabelecleucel for treating post-transplant lymphoproliferative disorder caused by the Epstein-Barr virus (terminated appraisal),Rejected,2023-10-19
Rimegepant for treating migraine,Conditional,2023-10-18
Tofacitinib for treating active ankylosing spondylitis,Conditional,2023-10-18
Ruxolitinib for treating polycythaemia vera,Approved,2023-10-18
Daridorexant for treating long-term insomnia,Conditional,2023-10-18
Glofitamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,Approved,2023-10-17
Bimekizumab for treating axial spondyloarthritis,Conditional,2023-10-11
Pegunigalsidase alfa for treating Fabry disease,Conditional,2023-10-04
Bimekizumab for treating active psoriatic arthritis,Conditional,2023-10-04
"Pembrolizumab for previously treated endometrial, biliary, colorectal, gastric or small intestine cancer with high microsatellite instability or mismatch repair deficiency",Approved,2023-09-20
Mavacamten for treating symptomatic obstructive hypertrophic cardiomyopathy,Conditional,2023-09-06
Semaglutide for managing overweight and obesity,Conditional,2023-03-08
Cipaglucosidase alfa with miglustat for treating late-onset Pompe disease,Conditional,2023-08-15
Selpercatinib for untreated RET fusion-positive advanced non-small-cell lung cancer,Conditional,2023-07-26
Semaglutide for managing overweight and obesity in young people aged 12 to 17 years (terminated appraisal),Rejected,2023-07-13
Lorlatinib for untreated ALK-positive advanced non-small-cell lung cancer,Rejected,2023-07-12
Rimegepant for preventing migraine,Conditional,2023-07-05
"Olaparib for maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube or peritoneal cancer after 2 or more courses of platinum-based chemotherapy",Conditional,2023-07-05
Deucravacitinib for treating moderate to severe plaque psoriasis,Conditional,2023-06-28
Dapagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,Approved,2023-06-21
Darolutamide with androgen deprivation therapy and docetaxel for treating hormone-sensitive metastatic prostate cancer,Approved,2023-06-21
Pembrolizumab with lenvatinib for previously treated advanced or recurrent endometrial cancer,Approved,2023-06-21
Upadacitinib for previously treated moderately to severely active Crohn’s disease,Conditional,2023-06-21
Cemiplimab for treating recurrent or metastatic cervical cancer (terminated appraisal),Rejected,2023-06-20
Dabrafenib plus trametinib for treating BRAF V600 mutation-positive advanced non-small-cell lung cancer,Conditional,2023-06-14
Tixagevimab plus cilgavimab for preventing COVID-19,Rejected,2023-06-14
Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma,Rejected,2023-06-07
Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy,Conditional,2023-06-07
Bulevirtide for treating chronic hepatitis D,Conditional,2023-06-07
Brexucabtagene autoleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 26 years and over,Conditional,2023-06-07
Daratumumab with bortezomib and dexamethasone for previously treated multiple myeloma,Conditional,2023-06-06
Esketamine for treating major depressive disorder in adults at imminent risk of suicide (terminated appraisal),Rejected,2023-06-06
Ibrutinib with venetoclax for untreated chronic lymphocytic leukaemia,Conditional,2023-05-31
Mosunetuzumab for treating relapsed or refractory follicular lymphoma,Rejected,2023-05-31
Risankizumab for previously treated moderately to severely active Crohn's disease,Conditional,2023-05-17
Ciltacabtagene autoleucel for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2023-05-17
Difelikefalin for treating pruritus in people having haemodialysis,Approved,2023-05-17
Olaparib for adjuvant treatment of BRCA mutation-positive HER2-negative high-risk early breast cancer after chemotherapy,Approved,2023-05-10
Olaparib for previously treated BRCA mutation-positive hormone-relapsed metastatic prostate cancer,Approved,2023-05-10
Ripretinib for treating advanced gastrointestinal stromal tumour after 3 or more treatments,Rejected,2023-05-03
Voclosporin with mycophenolate mofetil for treating lupus nephritis,Approved,2023-05-03
Tafasitamab with lenalidomide for treating relapsed or refractory diffuse large B-cell lymphoma,Rejected,2023-05-03
Capmatinib for treating advanced non-small-cell lung cancer with MET exon 14 skipping (terminated appraisal),Rejected,2023-05-03
Tezepelumab for treating severe asthma,Conditional,2023-04-20
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic gastric or gastro-oesophageal junction cancer after anti-HER2 treatment (terminated appraisal),Rejected,2023-04-06
Finerenone for treating chronic kidney disease in type 2 diabetes,Conditional,2023-03-23
Nivolumab with chemotherapy for neoadjuvant treatment of resectable non-small-cell lung cancer,Approved,2023-03-22
Eptinezumab for preventing migraine,Conditional,2023-03-01
Cannabidiol for treating seizures caused by tuberous sclerosis complex,Conditional,2023-03-01
Polatuzumab vedotin in combination for untreated diffuse large B-cell lymphoma,Conditional,2023-03-01
Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,Conditional,2023-02-28
Ixazomib with lenalidomide and dexamethasone for treating relapsed or refractory multiple myeloma,Conditional,2023-02-22
Mitapivat for treating pyruvate kinase deficiency (terminated appraisal),Rejected,2023-02-16
Vutrisiran for treating hereditary transthyretin-related amyloidosis,Approved,2023-02-15
"Nivolumab with fluoropyrimidine- and platinum-based chemotherapy for untreated unresectable advanced, recurrent, or metastatic oesophageal squamous cell carcinoma",Conditional,2023-02-08
Regorafenib for previously treated metastatic colorectal cancer,Approved,2023-02-08
Upadacitinib for treating active non-radiographic axial spondyloarthritis,Conditional,2023-02-01
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 1 or more anti-HER2 treatments,Approved,2023-02-01
Somatrogon for treating growth disturbance in children and young people aged 3 years and over,Approved,2023-02-01
Nintedanib for treating idiopathic pulmonary fibrosis when forced vital capacity is above 80% predicted,Conditional,2023-02-01
Maribavir for treating refractory cytomegalovirus infection after transplant,Conditional,2023-01-18
Angiotensin II for treating vasosuppressor-resistant hypotension caused by septic or distributive shock (terminated appraisal),Rejected,2023-01-16
"Nivolumab with platinum- and fluoropyrimidine-based chemotherapy for untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma",Approved,2023-01-11
Lenvatinib with pembrolizumab for untreated advanced renal cell carcinoma,Conditional,2023-01-11
Upadacitinib for treating moderately to severely active ulcerative colitis,Approved,2023-01-04
Avatrombopag for treating primary chronic immune thrombocytopenia,Approved,2022-12-15
Cabozantinib for previously treated advanced hepatocellular carcinoma,Conditional,2022-12-14
Amivantamab for treating EGFR exon 20 insertion mutation-positive advanced non-small-cell lung cancer after platinum-based chemotherapy,Rejected,2022-12-14
Pembrolizumab for neoadjuvant and adjuvant treatment of triple-negative early or locally advanced breast cancer,Approved,2022-12-14
Trifluridine–tipiracil for treating metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more treatments,Approved,2022-12-14
Esketamine nasal spray for treatment-resistant depression,Rejected,2022-12-14
Cemiplimab for untreated PD-L1-positive advanced or metastatic non-small-cell lung cancer (terminated appraisal),Rejected,2022-12-01
Mepolizumab for treating eosinophilic granulomatosis with polyangiitis (terminated appraisal),Rejected,2022-11-29
Mepolizumab for treating severe hypereosinophilic syndrome (terminated appraisal),Rejected,2022-11-29
Mepolizumab for treating severe chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2022-11-29
Luspatercept for treating anaemia caused by myelodysplastic syndromes (terminated appraisal),Rejected,2022-11-24
Luspatercept for treating anaemia caused by beta-thalassaemia (terminated appraisal),Rejected,2022-11-24
Carfilzomib with daratumumab and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2022-11-22
Tisagenlecleucel for treating follicular lymphoma after 2 or more therapies (terminated appraisal),Rejected,2022-11-22
Ruxolitinib for treating acute graft versus host disease refractory to corticosteroids (terminated appraisal),Rejected,2022-11-16
"Ruxolitinib for treating chronic graft versus host disease refractory to corticosteroids 
 (terminated appraisal)",Rejected,2022-11-16
Slow-release potassium bicarbonate–potassium citrate for treating distal renal tubular acidosis (terminated appraisal),Rejected,2022-11-02
Pembrolizumab for adjuvant treatment of resected stage 2B or 2C melanoma,Conditional,2022-10-26
"Palbociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2022-10-26
Pembrolizumab for adjuvant treatment of renal cell carcinoma,Conditional,2022-10-19
Relugolix–estradiol–norethisterone acetate for treating moderate to severe symptoms of uterine fibroids,Approved,2022-10-19
Zanubrutinib for treating Waldenstrom’s macroglobulinaemia,Conditional,2022-10-19
Fostamatinib for treating refractory chronic immune thrombocytopenia,Conditional,2022-10-19
SQ HDM SLIT for treating allergic rhinitis and allergic asthma caused by house dust mites (terminated appraisal),Rejected,2022-10-12
Oral azacitidine for maintenance treatment of acute myeloid leukaemia after induction therapy,Approved,2022-10-05
Ozanimod for treating moderately to severely active ulcerative colitis,Conditional,2022-10-05
Upadacitinib for treating active ankylosing spondylitis,Conditional,2022-09-30
Atezolizumab for adjuvant treatment of resected non-small-cell lung cancer,Approved,2022-09-28
Avacopan for treating severe active granulomatosis with polyangiitis or microscopic polyangiitis,Conditional,2022-09-21
Vedolizumab for treating chronic refractory pouchitis after surgery for ulcerative colitis (terminated appraisal),Rejected,2022-09-21
Melphalan for haematological diseases before allogeneic haematopoietic stem cell transplant (terminated appraisal),Rejected,2022-09-14
Dexamethasone intravitreal implant for treating diabetic macular oedema,Conditional,2022-09-14
Brolucizumab for treating diabetic macular oedema,Conditional,2022-08-31
Avalglucosidase alfa for treating Pompe disease,Conditional,2022-08-24
Sacituzumab govitecan for treating unresectable triple-negative advanced breast cancer after 2 or more therapies,Conditional,2022-08-17
Nivolumab with ipilimumab for untreated unresectable malignant pleural mesothelioma,Conditional,2022-08-17
Guselkumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-08-10
"Alpelisib with fulvestrant for treating hormone receptor-positive, HER2-negative, PIK3CA-mutated advanced breast cancer",Conditional,2022-08-10
Nivolumab for adjuvant treatment of invasive urothelial cancer at high risk of recurrence,Conditional,2022-08-10
Pralsetinib for treating RET fusion-positive advanced non-small-cell lung cancer,Rejected,2022-08-03
Asciminib for treating chronic myeloid leukaemia after 2 or more tyrosine kinase inhibitors,Conditional,2022-08-03
"Abrocitinib, tralokinumab or upadacitinib for treating moderate to severe atopic dermatitis",Conditional,2022-08-03
Duvelisib for treating relapsed or refractory chronic lymphocytic leukaemia after 2 or more treatments (terminated appraisal),Rejected,2022-07-27
Imlifidase for desensitisation treatment before kidney transplant in people with chronic kidney disease,Approved,2022-07-20
"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",Approved,2022-07-20
Risankizumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-07-13
Icosapent ethyl with statin therapy for reducing the risk of cardiovascular events in people with raised triglycerides,Conditional,2022-07-13
Belimumab for treating lupus nephritis (terminated appraisal),Rejected,2022-07-13
Roxadustat for treating symptomatic anaemia in chronic kidney disease,Conditional,2022-07-13
Fenfluramine for treating seizures associated with Dravet syndrome,Conditional,2022-07-08
Teduglutide for treating short bowel syndrome,Conditional,2022-06-30
Faricimab for treating diabetic macular oedema,Conditional,2022-06-29
Faricimab for treating wet age-related macular degeneration,Conditional,2022-06-29
"Pembrolizumab plus chemotherapy for untreated, triple-negative, locally recurrent unresectable or metastatic breast cancer",Conditional,2022-06-29
Cemiplimab for treating advanced cutaneous squamous cell carcinoma,Conditional,2022-06-29
Durvalumab for maintenance treatment of unresectable non-small-cell lung cancer after platinum-based chemoradiation,Conditional,2022-06-22
Venetoclax for treating chronic lymphocytic leukaemia,Approved,2022-06-15
Enfortumab vedotin for previously treated locally advanced or metastatic urothelial cancer (terminated appraisal),Rejected,2022-06-15
Anifrolumab for treating active autoantibody-positive systemic lupus erythematosus (terminated appraisal),Rejected,2022-06-08
Diroximel fumarate for treating relapsing–remitting multiple sclerosis,Conditional,2022-06-08
Ibrutinib for treating Waldenstrom’s macroglobulinaemia,Rejected,2022-06-08
Filgotinib for treating moderately to severely active ulcerative colitis,Approved,2022-06-01
TYRX Absorbable Antibacterial Envelope for preventing infection from cardiac implantable electronic devices (terminated appraisal),Rejected,2022-05-25
Romosozumab for treating severe osteoporosis,Conditional,2022-05-25
Tepotinib for treating advanced non-small-cell lung cancer with MET gene alterations,Conditional,2022-05-18
Avelumab for maintenance treatment of locally advanced or metastatic urothelial cancer after platinum-based chemotherapy,Conditional,2022-05-11
Tucatinib with trastuzumab and capecitabine for treating HER2-positive advanced breast cancer after 2 or more anti-HER2 therapies,Conditional,2022-04-27
Venetoclax with low dose cytarabine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,Conditional,2022-04-27
"Niraparib for maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube and peritoneal cancer",Conditional,2022-04-20
Nivolumab with cabozantinib for untreated advanced renal cell carcinoma (terminated appraisal),Rejected,2022-04-20
Daratumumab monotherapy for treating relapsed and refractory multiple myeloma,Conditional,2022-04-13
Sotorasib for previously treated KRAS G12C mutation-positive advanced non-small-cell lung cancer,Conditional,2022-03-30
Tagraxofusp for treating blastic plasmacytoid dendritic cell neoplasm (terminated appraisal),Rejected,2022-03-30
Nivolumab with ipilimumab for untreated advanced renal cell carcinoma,Approved,2022-03-24
Dostarlimab for previously treated advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2022-03-16
Lenalidomide for relapsed or refractory mantle cell lymphoma (terminated appraisal),Rejected,2022-03-09
Empagliflozin for treating chronic heart failure with reduced ejection fraction,Conditional,2022-03-09
Pitolisant hydrochloride for treating excessive daytime sleepiness caused by obstructive sleep apnoea,Rejected,2022-03-09
Solriamfetol for treating excessive daytime sleepiness caused by obstructive sleep apnoea,Rejected,2022-03-09
Pegcetacoplan for treating paroxysmal nocturnal haemoglobinuria,Conditional,2022-03-09
Dapagliflozin for treating chronic kidney disease,Conditional,2022-03-09
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma after stem cell transplant or at least 2 previous therapies,Conditional,2022-02-23
Pembrolizumab with carboplatin and paclitaxel for untreated metastatic squamous non-small-cell lung cancer,Conditional,2022-02-09
"Daratumumab with bortezomib, melphalan and prednisone for untreated multiple myeloma (terminated appraisal)",Rejected,2022-02-09
Daratumumab in combination for untreated multiple myeloma when a stem cell transplant is suitable,Conditional,2022-02-02
Fremanezumab for preventing migraine,Conditional,2022-02-02
Venetoclax with azacitidine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,Conditional,2022-02-02
Pembrolizumab for adjuvant treatment of completely resected stage 3 melanoma,Conditional,2022-02-02
Ponesimod for treating relapsing–remitting multiple sclerosis,Conditional,2022-02-02
Upadacitinib for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-02-02
Palforzia for treating peanut allergy in children and young people,Approved,2022-02-02
Sodium zirconium cyclosilicate for treating hyperkalaemia,Conditional,2019-09-04
Osimertinib for adjuvant treatment of EGFR mutation-positive non-small-cell lung cancer after complete tumour resection,Conditional,2022-01-19
