PDF File,Number of RCTs,Number of Patients
Selective_internal_radiation_therapy_with_QuiremSpheres_for_treating_unresectable_advanced_hepatocellular_carcinoma.pdf,0.0,0.0
Pembrolizumab_for_untreated_PD-L1-positive_metastatic_non-small-cell_lung_cancer.pdf,1.0,305.0
Risdiplam_for_treating_spinal_muscular_atrophy.pdf,2.0,168.0
Eptinezumab_for_preventing_migraine.pdf,1.0,280.0
Risankizumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,1.0,668.0
Enzalutamide_for_hormone-relapsed_non-metastatic_prostate_cancer.pdf,2.0,1646.0
Pralsetinib_for_treating_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,0.0,0.0
Paclitaxel_as_albumin-bound_nanoparticles_with_gemcitabine_for_untreated_metastatic_pancreatic_cancer.pdf,1.0,861.0
Venetoclax_for_treating_chronic_lymphocytic_leukaemia.pdf,,
Ledipasvir–sofosbuvir_for_treating_chronic_hepatitis_C.pdf,,
Dapagliflozin_for_treating_chronic_kidney_disease.pdf,1.0,4304.0
Degarelix_for_treating_advanced_hormone-dependent_prostate_cancer.pdf,,
Sorafenib_for_treating_advanced_hepatocellular_carcinoma.pdf,,
Epcoritamab_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,1.0,158.0
Aflibercept_for_treating_visual_impairment_caused_by_macular_oedema_after_branch_retinal_vein_occlusion.pdf,1.0,183.0
Pembrolizumab_with_trastuzumab_and_chemotherapy_for_untreated_locally_advanced_unresectable_or_metastatic_HER2-positive_gastric_or_gastro-oesophageal_junction_adenocarcinoma.pdf,1.0,692.0
Ofatumumab_for_treating_relapsing_multiple_sclerosis.pdf,,
"Ivacaftor–tezacaftor–elexacaftor,_tezacaftor–ivacaftor_and_lumacaftor–ivacaftor_for_treating_cystic_fibrosis.pdf",2.0,403.0
Amivantamab_for_treating_EGFR_exon_20_insertion_mutation-positive_advanced_non-small-cell_lung_cancer_after_platinum-based_chemotherapy.pdf,,
Dacomitinib_for_untreated_EGFR_mutation-positive_non-small-cell_lung_cancer.pdf,1.0,0.0
Teduglutide_for_treating_short_bowel_syndrome.pdf,2.0,166.0
Pembrolizumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_advanced_HER2-negative_gastric_or_gastro-oesophageal_junction_adenocarcinoma.pdf,1.0,1579.0
Abiraterone_for_treating_newly_diagnosed_high-risk_hormone-sensitive_metastatic_prostate_cancer.pdf,,
Chlormethine_gel_for_treating_mycosis_fungoides-type_cutaneous_T-cell_lymphoma.pdf,1.0,260.0
Olaparib_for_treating_BRCA_mutation-positive_HER2-negative_advanced_breast_cancer_after_chemotherapy.pdf,1.0,302.0
Rimegepant_for_preventing_migraine.pdf,1.0,741.0
Dexamethasone_intravitreal_implant_for_treating_diabetic_macular_oedema.pdf,2.0,620.0
Imlifidase_for_desensitisation_treatment_before_kidney_transplant_in_people_with_chronic_kidney_disease.pdf,0.0,0.0
Ciclosporin_for_treating_dry_eye_disease_that_has_not_improved_despite_treatment_with_artificial_tears.pdf,,
Obeticholic_acid_for_treating_primary_biliary_cholangitis.pdf,1.0,217.0
Icosapent_ethyl_with_statin_therapy_for_reducing_the_risk_of_cardiovascular_events_in_people_with_raised_triglycerides.pdf,1.0,8179.0
Lenvatinib_with_everolimus_for_previously_treated_advanced_renal_cell_carcinoma.pdf,1.0,153.0
"Rucaparib_for_maintenance_treatment_of_relapsed_platinum-sensitive_ovarian,_fallopian_tube_or_peritoneal_cancer.pdf",,
Pembrolizumab_for_neoadjuvant_and_adjuvant_treatment_of_triple-negative_early_or_locally_advanced_breast_cancer.pdf,1.0,1172.0
Darvadstrocel_for_treating_complex_perianal_fistulas_in_Crohn’s_disease.pdf,1.0,212.0
Lebrikizumab_for_treating_moderate_to_severe_atopic_dermatitis_in_people_12_years_and_over.pdf,3.0,1642.0
Crizotinib_for_untreated_anaplastic_lymphoma_kinase-positive_advanced_non-small-cell_lung_cancer.pdf,,
Siponimod_for_treating_secondary_progressive_multiple_sclerosis.pdf,1.0,1645.0
Upadacitinib_for_treating_active_ankylosing_spondylitis.pdf,1.0,420.0
Crizotinib_for_previously_treated_anaplastic_lymphoma_kinase-positive_advanced_non-small-cell_lung_cancer.pdf,,
Eribulin_for_treating_locally_advanced_or_metastatic_breast_cancer_after_1_chemotherapy_regimen.pdf,3.0,1710.0
Tofacitinib_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,2.0,442.0
Patiromer_for_treating_hyperkalaemia.pdf,1.0,243.0
Daridorexant_for_treating_long-term_insomnia.pdf,,
Lenalidomide_maintenance_treatment_after_an_autologous_stem_cell_transplant_for_newly_diagnosed_multiple_myeloma.pdf,1.0,1032.0
Tepotinib_for_treating_advanced_non-small-cell_lung_cancer_with_MET_gene_alterations.pdf,1.0,220.0
Xeomin_(botulinum_neurotoxin_type_A)_for_treating_chronic_sialorrhoea.pdf,1.0,184.0
Cabozantinib_with_nivolumab_for_untreated_advanced_renal_cell_carcinoma.pdf,1.0,651.0
Sacituzumab_govitecan_for_treating_unresectable_triple-negative_advanced_breast_cancer_after_2_or_more_therapies.pdf,1.0,529.0
Ripretinib_for_treating_advanced_gastrointestinal_stromal_tumour_after_3_or_more_treatments.pdf,1.0,213.0
Nivolumab_with_ipilimumab_for_untreated_unresectable_malignant_pleural_mesothelioma.pdf,1.0,605.0
Pitolisant_hydrochloride_for_treating_excessive_daytime_sleepiness_caused_by_obstructive_sleep_apnoea.pdf,2.0,512.0
Ibrutinib_for_treating_relapsed_or_refractory_mantle_cell_lymphoma.pdf,1.0,280.0
Idelalisib_for_treating_refractory_follicular_lymphoma.pdf,2.0,144.0
Empagliflozin_for_treating_chronic_heart_failure_with_reduced_ejection_fraction.pdf,1.0,3730.0
Belzutifan_for_treating_tumours_associated_with_von_Hippel-Lindau_disease.pdf,1.0,61.0
Cochlear_implants_for_children_and_adults_with_severe_to_profound_deafness.pdf,,
Cannabidiol_for_treating_seizures_caused_by_tuberous_sclerosis_complex.pdf,,
Cannabidiol_with_clobazam_for_treating_seizures_associated_with_Dravet_syndrome.pdf,2.0,308.0
Lenvatinib_and_sorafenib_for_treating_differentiated_thyroid_cancer_after_radioactive_iodine.pdf,1.0,392.0
Human_alpha1-proteinase_inhibitor_for_treating_emphysema_(terminated_appraisal).pdf,,
Ponatinib_for_treating_chronic_myeloid_leukaemia_and_acute_lymphoblastic_leukaemia.pdf,2.0,215.0
Avacopan_for_treating_severe_active_granulomatosis_with_polyangiitis_or_microscopic_polyangiitis.pdf,,
Entecavir_for_the_treatment_of_chronic_hepatitis_B.pdf,,
Isatuximab_with_pomalidomide_and_dexamethasone_for_treating_relapsed_and_refractory_multiple_myeloma.pdf,1.0,307.0
Panobinostat_for_treating_multiple_myeloma_after_at_least_2_previous_treatments.pdf,,
Pembrolizumab_for_adjuvant_treatment_of_renal_cell_carcinoma.pdf,1.0,994.0
Semaglutide_for_managing_overweight_and_obesity.pdf,,
Rivaroxaban_for_preventing_atherothrombotic_events_in_people_with_coronary_or_peripheral_artery_disease.pdf,,
Gilteritinib_for_treating_relapsed_or_refractory_acute_myeloid_leukaemia.pdf,2.0,620.0
Baricitinib_for_moderate_to_severe_rheumatoid_arthritis.pdf,4.0,3700.0
Ixekizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,,
Ertugliflozin_with_metformin_and_a_dipeptidyl_peptidase-4_inhibitor_for_treating_type_2_diabetes.pdf,1.0,462.0
Filgotinib_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,3.0,1685.0
Upadacitinib_for_treating_active_non-radiographic_axial_spondyloarthritis.pdf,1.0,386.0
Blinatumomab_for_previously_treated_Philadelphia-chromosome-negative_acute_lymphoblastic_leukaemia.pdf,,
"Abrocitinib,_tralokinumab_or_upadacitinib_for_treating_moderate_to_severe_atopic_dermatitis.pdf",5.0,5225.0
Upadacitinib_for_previously_treated_moderately_to_severely_active_Crohn’s_disease.pdf,3.0,1543.0
Tafamidis_for_treating_transthyretin_amyloidosis_with_cardiomyopathy.pdf,,
Dapagliflozin_in_triple_therapy_for_treating_type_2_diabetes.pdf,1.0,219.0
Pegunigalsidase_alfa_for_treating_Fabry_disease.pdf,1.0,102.0
Vibegron_for_treating_symptoms_of_overactive_bladder_syndrome.pdf,8.0,4612.0
Ganaxolone_for_treating_seizures_caused_by_CDKL5_deficiency_disorder_in_people_2_years_and_over.pdf,1.0,101.0
Selpercatinib_for_advanced_thyroid_cancer_with_RET_alterations_after_treatment_with_a_targeted_cancer_drug_in_people_12_years_and_over.pdf,1.0,703.0
Ezetimibe_for_treating_primary_heterozygous-familial_and_non-familial_hypercholesterolaemia.pdf,5.0,802.0
Brigatinib_for_ALK-positive_advanced_non-small-cell_lung_cancer_that_has_not_been_previously_treated_with_an_ALK_inhibitor.pdf,1.0,275.0
"Nivolumab_with_fluoropyrimidine-_and_platinum-based_chemotherapy_for_untreated_unresectable_advanced,_recurrent,_or_metastatic_oesophageal_squamous_cell_carcinoma.pdf",1.0,939.0
Tirzepatide_for_managing_overweight_and_obesity.pdf,,
Pembrolizumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_advanced_oesophageal_and_gastro-oesophageal_junction_cancer.pdf,1.0,749.0
Nusinersen_for_treating_spinal_muscular_atrophy.pdf,4.0,309.0
Trastuzumab_deruxtecan_for_treating_HER2-positive_unresectable_or_metastatic_breast_cancer_after_2_or_more_anti-HER2_therapies.pdf,2.0,437.0
Daratumumab_with_bortezomib_and_dexamethasone_for_previously_treated_multiple_myeloma.pdf,1.0,978.0
Atezolizumab_with_bevacizumab_for_treating_advanced_or_unresectable_hepatocellular_carcinoma.pdf,1.0,480.0
Nivolumab_with_ipilimumab_for_untreated_advanced_renal_cell_carcinoma.pdf,,
Cenobamate_for_treating_focal_onset_seizures_in_epilepsy.pdf,1.0,395.0
Apremilast_for_treating_moderate_to_severe_plaque_psoriasis.pdf,,
Enzalutamide_for_treating_metastatic_hormone-relapsed_prostate_cancer_before_chemotherapy_is_indicated.pdf,,
Loncastuximab_tesirine_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_and_high-grade_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,0.0,145.0
Dabrafenib_with_trametinib_for_adjuvant_treatment_of_resected_BRAF_V600_mutation-positive_melanoma.pdf,1.0,870.0
Pomalidomide_for_multiple_myeloma_previously_treated_with_lenalidomide_and_bortezomib.pdf,1.0,455.0
Avapritinib_for_treating_advanced_systemic_mastocytosis.pdf,2.0,0.0
Ocrelizumab_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2.0,1656.0
Trametinib_in_combination_with_dabrafenib_for_treating_unresectable_or_metastatic_melanoma.pdf,,
Golimumab_for_treating_non-radiographic_axial_spondyloarthritis.pdf,,
Filgotinib_for_treating_moderate_to_severe_rheumatoid_arthritis.pdf,3.0,3415.0
Tofacitinib_for_treating_juvenile_idiopathic_arthritis.pdf,1.0,411.0
Bimekizumab_for_treating_active_psoriatic_arthritis.pdf,2.0,5420.0
Risankizumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,,
Nintedanib_for_treating_idiopathic_pulmonary_fibrosis_when_forced_vital_capacity_is_above_80%_predicted.pdf,,
Cetuximab_and_panitumumab_for_previously_untreated_metastatic_colorectal_cancer.pdf,,
Fostamatinib_for_treating_refractory_chronic_immune_thrombocytopenia.pdf,,
Upadacitinib_for_treating_severe_rheumatoid_arthritis.pdf,4.0,2280.0
Entrectinib_for_treating_NTRK_fusion-positive_solid_tumours.pdf,3.0,141.0
Latanoprost–netarsudil_for_previously_treated_primary_open-angle_glaucoma_or_ocular_hypertension.pdf,,
Ixekizumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,2.0,772.0
Romosozumab_for_treating_severe_osteoporosis.pdf,,
Pirfenidone_for_treating_idiopathic_pulmonary_fibrosis.pdf,5.0,3122.0
Dabrafenib_plus_trametinib_for_treating_BRAF_V600_mutation-positive_advanced_non-small-cell_lung_cancer.pdf,,
Axicabtagene_ciloleucel_for_treating_relapsed_or_refractory_follicular_lymphoma.pdf,2.0,101.0
Ivosidenib_for_treating_advanced_cholangiocarcinoma_with_an_IDH1_R132_mutation_after_1_or_more_systemic_treatments.pdf,1.0,187.0
Pertuzumab_for_adjuvant_treatment_of_HER2-positive_early_stage_breast_cancer.pdf,1.0,4800.0
Ertugliflozin_as_monotherapy_or_with_metformin_for_treating_type_2_diabetes.pdf,3.0,2350.0
Belumosudil_for_treating_chronic_graft-versus-host_disease_after_2_or_more_systemic_treatments_in_people_12_years_and_over.pdf,,
Ivosidenib_with_azacitidine_for_untreated_acute_myeloid_leukaemia_with_an_IDH1_R132_mutation.pdf,1.0,146.0
Atezolizumab_for_treating_locally_advanced_or_metastatic_urothelial_carcinoma_after_platinum-containing_chemotherapy.pdf,0.0,0.0
Caplacizumab_with_plasma_exchange_and_immunosuppression_for_treating_acute_acquired_thrombotic_thrombocytopenic_purpura.pdf,2.0,220.0
Nivolumab_with_ipilimumab_for_previously_treated_metastatic_colorectal_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,1.0,48.0
"Pembrolizumab_plus_chemotherapy_for_untreated,_triple-negative,_locally_recurrent_unresectable_or_metastatic_breast_cancer.pdf",,
"Niraparib_for_maintenance_treatment_of_advanced_ovarian,_fallopian_tube_and_peritoneal_cancer_after_response_to_first-line_platinum-based_chemotherapy.pdf",1.0,733.0
Fedratinib_for_treating_disease-related_splenomegaly_or_symptoms_in_myelofibrosis.pdf,1.0,192.0
Faricimab_for_treating_diabetic_macular_oedema.pdf,2.0,1891.0
Darolutamide_with_androgen_deprivation_therapy_and_docetaxel_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,1.0,1306.0
Polatuzumab_vedotin_in_combination_for_untreated_diffuse_large_B-cell_lymphoma.pdf,1.0,879.0
Ravulizumab_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2.0,443.0
Acalabrutinib_for_treating_chronic_lymphocytic_leukaemia.pdf,2.0,310.0
"Olaparib_with_bevacizumab_for_maintenance_treatment_of_advanced_high-grade_epithelial_ovarian,_fallopian_tube_or_primary_peritoneal_cancer.pdf",1.0,806.0
Secukinumab_for_treating_moderate_to_severe_hidradenitis_suppurativa.pdf,2.0,1085.0
Linzagolix_for_treating_moderate_to_severe_symptoms_of_uterine_fibroids.pdf,2.0,1037.0
Fremanezumab_for_preventing_migraine.pdf,4.0,3839.0
Ramucirumab_for_previously_treated_locally_advanced_or_metastatic_non-small-cell_lung_cancer.pdf,1.0,1253.0
Bimekizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,,
Vismodegib_for_treating_basal_cell_carcinoma.pdf,0.0,0.0
Trastuzumab_deruxtecan_for_treating_HER2-low_metastatic_or_unresectable_breast_cancer_after_chemotherapy.pdf,1.0,557.0
Daratumumab_in_combination_for_treating_newly_diagnosed_systemic_amyloid_light-chain_amyloidosis.pdf,1.0,388.0
Mavacamten_for_treating_symptomatic_obstructive_hypertrophic_cardiomyopathy.pdf,2.0,330.0
Durvalumab_for_maintenance_treatment_of_unresectable_non-small-cell_lung_cancer_after_platinum-based_chemoradiation.pdf,,
Cobimetinib_in_combination_with_vemurafenib_for_treating_unresectable_or_metastatic_BRAF_V600_mutation-positive_melanoma.pdf,1.0,495.0
Difelikefalin_for_treating_pruritus_in_people_having_haemodialysis.pdf,2.0,728.0
Ozanimod_for_treating_relapsing–remitting_multiple_sclerosis.pdf,3.0,2408.0
Nivolumab_with_ipilimumab_and_chemotherapy_for_untreated_metastatic_non-small-cell_lung_cancer.pdf,3.0,1422.0
Solriamfetol_for_treating_excessive_daytime_sleepiness_caused_by_obstructive_sleep_apnoea.pdf,3.0,940.0
Solriamfetol_for_treating_excessive_daytime_sleepiness_caused_by_narcolepsy.pdf,3.0,785.0
Pembrolizumab_for_advanced_melanoma_not_previously_treated_with_ipilimumab.pdf,1.0,834.0
Tofacitinib_for_moderate_to_severe_rheumatoid_arthritis.pdf,4.0,0.0
Avelumab_for_untreated_metastatic_Merkel_cell_carcinoma.pdf,,
Vadadustat_for_treating_symptomatic_anaemia_in_adults_having_dialysis_for_chronic_kidney_disease.pdf,2.0,4923.0
"Adalimumab,_etanercept_and_ustekinumab_for_treating_plaque_psoriasis_in_children_and_young_people.pdf",1.0,110.0
Zanubrutinib_for_treating_Waldenstrom’s_macroglobulinaemia.pdf,1.0,201.0
Guselkumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,
Sotagliflozin_with_insulin_for_treating_type_1_diabetes.pdf,,
"Canagliflozin,_dapagliflozin_and_empagliflozin_as_monotherapies_for_treating_type_2_diabetes.pdf",,
Lenvatinib_with_pembrolizumab_for_untreated_advanced_renal_cell_carcinoma.pdf,3.0,1069.0
Ublituximab_for_treating_relapsing_multiple_sclerosis.pdf,2.0,0.0
Erlotinib_and_gefitinib_for_treating_non-small-cell_lung_cancer_that_has_progressed_after_prior_chemotherapy.pdf,,
Necitumumab_for_untreated_advanced_or_metastatic_squamous_non-small-cell_lung_cancer.pdf,1.0,1093.0
Dupilumab_for_treating_moderate_to_severe_atopic_dermatitis.pdf,2.0,1417.0
Atezolizumab_in_combination_for_treating_metastatic_non-squamous_non-small-cell_lung_cancer.pdf,1.0,1200.0
Alectinib_for_adjuvant_treatment_of_ALK-positive_non-small-cell_lung_cancer.pdf,1.0,247.0
Selpercatinib_for_advanced_thyroid_cancer_with_RET_alterations_untreated_with_a_targeted_cancer_drug_in_people_12_years_and_over.pdf,5.0,384.0
Gemtuzumab_ozogamicin_for_untreated_acute_myeloid_leukaemia.pdf,1.0,280.0
"Abemaciclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",,
Mosunetuzumab_for_treating_relapsed_or_refractory_follicular_lymphoma.pdf,5.0,184.0
Bulevirtide_for_treating_chronic_hepatitis_D.pdf,2.0,160.0
Nintedanib_for_treating_progressive_fibrosing_interstitial_lung_diseases.pdf,1.0,600.0
Asciminib_for_treating_chronic_myeloid_leukaemia_after_2_or_more_tyrosine_kinase_inhibitors.pdf,0.0,0.0
Voclosporin_with_mycophenolate_mofetil_for_treating_lupus_nephritis.pdf,3.0,880.0
Intrabeam_radiotherapy_system_for_adjuvant_treatment_of_early_breast_cancer.pdf,,
Tezepelumab_for_treating_severe_asthma.pdf,,
Futibatinib_for_previously_treated_advanced_cholangiocarcinoma_with_FGFR2_fusion_or_rearrangement.pdf,1.0,103.0
Pemetrexed_maintenance_treatment_for_non-squamous_non-small-cell_lung_cancer_after_pemetrexed_and_cisplatin.pdf,,
Polatuzumab_vedotin_with_rituximab_and_bendamustine_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma.pdf,1.0,80.0
Everolimus_and_sunitinib_for_treating_unresectable_or_metastatic_neuroendocrine_tumours_in_people_with_progressive_disease.pdf,,
Zanubrutinib_for_treating_marginal_zone_lymphoma_after_anti-CD20-based_treatment.pdf,0.0,20.0
Darolutamide_with_androgen_deprivation_therapy_for_treating_hormone-relapsed_non-metastatic_prostate_cancer.pdf,1.0,1509.0
Faricimab_for_treating_wet_age-related_macular_degeneration.pdf,2.0,1327.0
"Niraparib_for_maintenance_treatment_of_relapsed,_platinum-sensitive_ovarian,_fallopian_tube_and_peritoneal_cancer.pdf",,
Ticagrelor_for_preventing_atherothrombotic_events_after_myocardial_infarction.pdf,1.0,21.0
Sarilumab_for_moderate_to_severe_rheumatoid_arthritis.pdf,5.0,2620.0
Pegaspargase_for_treating_acute_lymphoblastic_leukaemia.pdf,2.0,3525.0
Dostarlimab_for_previously_treated_advanced_or_recurrent_endometrial_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,,
Selinexor_with_bortezomib_and_dexamethasone_for_previously_treated_multiple_myeloma.pdf,1.0,364.0
"Neratinib_for_extended_adjuvant_treatment_of_hormone_receptor-positive,_HER2-positive_early_stage_breast_cancer_after_adjuvant_trastuzumab.pdf",2.0,4282.0
Targeted-release_budesonide_for_treating_primary_IgA_nephropathy.pdf,2.0,307.0
Lenvatinib_for_untreated_advanced_hepatocellular_carcinoma.pdf,1.0,954.0
Regorafenib_for_previously_treated_metastatic_colorectal_cancer.pdf,2.0,890.0
Tofacitinib_for_moderately_to_severely_active_ulcerative_colitis.pdf,4.0,2164.0
Immunosuppressive_therapy_for_kidney_transplant_in_children_and_young_people.pdf,,
Blinatumomab_for_treating_acute_lymphoblastic_leukaemia_in_remission_with_minimal_residual_disease_activity.pdf,,
Atogepant_for_preventing_migraine.pdf,2.0,400.0
Cabozantinib_for_previously_treated_advanced_renal_cell_carcinoma.pdf,1.0,658.0
Pembrolizumab_for_untreated_metastatic_or_unresectable_recurrent_head_and_neck_squamous_cell_carcinoma.pdf,1.0,825.0
Talimogene_laherparepvec_for_treating_unresectable_metastatic_melanoma.pdf,,
Etranacogene_dezaparvovec_for_treating_moderately_severe_or_severe_haemophilia_B.pdf,,
"Dasatinib,_nilotinib_and_imatinib_for_untreated_chronic_myeloid_leukaemia.pdf",,
Pembrolizumab_with_lenvatinib_for_previously_treated_advanced_or_recurrent_endometrial_cancer.pdf,1.0,827.0
Daratumumab_monotherapy_for_treating_relapsed_and_refractory_multiple_myeloma.pdf,,
Slow-release_potassium_bicarbonate–potassium_citrate_for_treating_distal_renal_tubular_acidosis_(terminated_appraisal).pdf,2.0,67.0
Tucatinib_with_trastuzumab_and_capecitabine_for_treating_HER2-positive_advanced_breast_cancer_after_2_or_more_anti-HER2_therapies.pdf,1.0,612.0
Bisphosphonates_for_treating_osteoporosis.pdf,,
Roflumilast_for_treating_chronic_obstructive_pulmonary_disease.pdf,1.0,1945.0
Nivolumab_for_adjuvant_treatment_of_invasive_urothelial_cancer_at_high_risk_of_recurrence.pdf,,
Danicopan_with_ravulizumab_or_eculizumab_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,1.0,63.0
Berotralstat_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,1.0,80.0
Liposomal_cytarabine–daunorubicin_for_untreated_acute_myeloid_leukaemia.pdf,,
Liraglutide_for_managing_overweight_and_obesity.pdf,,
Selpercatinib_for_previously_treated_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,1.0,837.0
Belimumab_for_treating_active_autoantibody-positive_systemic_lupus_erythematosus.pdf,3.0,2436.0
"Palbociclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",1.0,521.0
Cabozantinib_for_previously_treated_advanced_differentiated_thyroid_cancer_unsuitable_for_or_refractory_to_radioactive_iodine.pdf,1.0,258.0
Venetoclax_with_obinutuzumab_for_untreated_chronic_lymphocytic_leukaemia.pdf,1.0,432.0
Lanadelumab_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,1.0,60.0
Sapropterin_for_treating_hyperphenylalaninaemia_in_phenylketonuria.pdf,6.0,878.0
Trifluridine–tipiracil_for_treating_metastatic_gastric_cancer_or_gastro-oesophageal_junction_adenocarcinoma_after_2_or_more_treatments.pdf,1.0,500.0
Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_after_stem_cell_transplant_or_at_least_2_previous_therapies.pdf,1.0,300.0
Alectinib_for_untreated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,1.0,303.0
Sofosbuvir_for_treating_chronic_hepatitis C.pdf,,
Pembrolizumab_with_carboplatin_and_paclitaxel_for_untreated_metastatic_squamous_non-small-cell_lung_cancer.pdf,,
"Alpelisib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative,_PIK3CA-mutated_advanced_breast_cancer.pdf",,
Durvalumab_with_etoposide_and_either_carboplatin_or_cisplatin_for_untreated_extensive-stage_small-cell_lung_cancer.pdf,1.0,538.0
Etelcalcetide_for_treating_secondary_hyperparathyroidism.pdf,3.0,1100.0
Elafibranor_for_previously_treated_primary_biliary_cholangitis.pdf,1.0,161.0
Avatrombopag_for_treating_primary_chronic_immune_thrombocytopenia.pdf,3.0,97.0
Crisaborole_for_treating_mild_to_moderate_atopic_dermatitis_in_people_2_years_and_older_(terminated_appraisal).pdf,2.0,1522.0
Nivolumab–relatlimab_for_untreated_unresectable_or_metastatic_melanoma_in_people_12_years_and_over.pdf,1.0,714.0
Mogamulizumab_for_previously_treated_mycosis_fungoides_and_Sézary_syndrome.pdf,1.0,317.0
Everolimus_with_exemestane_for_treating_advanced_breast_cancer_after_endocrine_therapy.pdf,,
Trastuzumab_emtansine_for_adjuvant_treatment_of_HER2-positive_early_breast_cancer.pdf,1.0,1486.0
Sofosbuvir–velpatasvir–voxilaprevir_for_treating_chronic_hepatitis_C.pdf,5.0,1655.0
Adalimumab_for_treating_moderate_to_severe_hidradenitis_suppurativa.pdf,3.0,787.0
