Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Sirolimus for treating facial angiofibroma caused by tuberous sclerosis complex in people 6 years and over (terminated appraisal),Rejected,2024-05-22,Sirolimus_for_treating_facial_angiofibroma_caused_by_tuberous_sclerosis_complex_in_people_6_years_and_over_(terminated_appraisal).pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Natalizumab for the treatment of adults with highly active relapsing–remitting multiple sclerosis,Approved,2007-08-22,Natalizumab_for_the_treatment_of_adults_with_highly_active_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Alemtuzumab for treating highly active relapsing–remitting multiple sclerosis,Approved,2014-05-28,Alemtuzumab_for_treating_highly_active_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Cladribine for treating relapsing–remitting multiple sclerosis,Conditional,2019-12-19,Cladribine_for_treating_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Ranibizumab and pegaptanib for the treatment of age-related macular degeneration,Rejected,2008-08-27,Ranibizumab_and_pegaptanib_for_the_treatment_of_age-related_macular_degeneration.pdf,,Chronic,Drug
Ranibizumab for treating choroidal neovascularisation associated with pathological myopia,Conditional,2013-11-27,Ranibizumab_for_treating_choroidal_neovascularisation_associated_with_pathological_myopia.pdf,,Chronic,Drug
Ranibizumab for treating visual impairment caused by macular oedema secondary to retinal vein occlusion,Conditional,2013-05-22,Ranibizumab_for_treating_visual_impairment_caused_by_macular_oedema_secondary_to_retinal_vein_occlusion.pdf,,"Chronic, Nervous System",Drug
Atogepant for preventing migraine,Conditional,2024-05-15,Atogepant_for_preventing_migraine.pdf,,Nervous System,Drug
Selinexor with bortezomib and dexamethasone for previously treated multiple myeloma,Conditional,2024-05-15,Selinexor_with_bortezomib_and_dexamethasone_for_previously_treated_multiple_myeloma.pdf,2023-08,Cancer,Drug
Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 25 years and under,Approved,2024-05-15,Tisagenlecleucel_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia_in_people_25 years_and_under.pdf,2023-10,"Cancer, Rare Disease (Orphan Drugs)",Drug
Selinexor with dexamethasone for treating relapsed or refractory multiple myeloma after 4 or more treatments,Approved,2024-05-08,Selinexor_with_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_after_4_or_more_treatments.pdf,2023-07,"Cancer, Chronic",Drug
Remdesivir and tixagevimab plus cilgavimab for treating COVID-19,Rejected,2024-05-08,Remdesivir_and_tixagevimab_plus_cilgavimab_for_treating_COVID-19.pdf,,NULL,Drug
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma in people 3 years and over,Conditional,2024-05-01,Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_in_people_3_years_and_over.pdf,2023-09,Cancer,Drug
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma,Rejected,2018-09-03,Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma.pdf,2017-09,Cancer,Drug
Gefapixant for treating refractory or unexplained chronic cough (terminated appraisal),Rejected,2024-04-30,Gefapixant_for_treating_refractory_or_unexplained_chronic_cough_(terminated_appraisal).pdf,,Chronic,Drug
Melphalan flufenamide with dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2024-04-25,Melphalan_flufenamide_with_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Pembrolizumab with gemcitabine and cisplatin for untreated advanced biliary tract cancer (terminated appraisal),Rejected,2024-04-24,Pembrolizumab_with_gemcitabine_and_cisplatin_for_untreated_advanced_biliary_tract_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Cabozantinib with nivolumab for untreated advanced renal cell carcinoma,Conditional,2024-04-10,Cabozantinib_with_nivolumab_for_untreated_advanced_renal_cell_carcinoma.pdf,2023-04,Cancer,Drug
Dostarlimab with platinum-based chemotherapy for treating advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,Approved,2024-04-03,Dostarlimab_with_platinum-based_chemotherapy_for_treating_advanced_or_recurrent_endometrial_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,,"Cancer, Obstetrics/Gynaecology",Drug
Sebelipase alfa for treating lysosomal acid lipase deficiency that is not Wolman disease (terminated appraisal),Rejected,2024-03-28,Sebelipase_alfa_for_treating_lysosomal_acid_lipase_deficiency_that_is_not_Wolman_disease_(terminated_appraisal).pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
"Olaparib for maintenance treatment of BRCA mutation-positive advanced ovarian, fallopian tube or peritoneal cancer after response to first-line platinum-based chemotherapy",Approved,2024-03-28,"Olaparib_for_maintenance_treatment_of_BRCA_mutation-positive_advanced_ovarian,_fallopian_tube_or_peritoneal_cancer_after_response_to_first-line_platinum-based_chemotherapy.pdf",2023-09,"Cancer, Obstetrics/Gynaecology",Drug
Human alpha1-proteinase inhibitor for treating emphysema (terminated appraisal),Rejected,2024-03-28,Human_alpha1-proteinase_inhibitor_for_treating_emphysema_(terminated_appraisal).pdf,,Chronic,Drug
Ritlecitinib for treating severe alopecia areata in people 12 years and over,Approved,2024-03-27,Ritlecitinib_for_treating_severe_alopecia_areata_in_people_12_years_and_over.pdf,,Rare Disease (Orphan Drugs),Drug
Daratumumab in combination for treating newly diagnosed systemic amyloid light-chain amyloidosis,Conditional,2024-03-27,Daratumumab_in_combination_for_treating_newly_diagnosed_systemic_amyloid_light-chain_amyloidosis.pdf,2021-06,Rare Disease (Orphan Drugs),Drug
Satralizumab for preventing relapses in neuromyelitis optica spectrum disorders (terminated appraisal),Rejected,2024-03-27,Satralizumab_for_preventing_relapses_in_neuromyelitis_optica_spectrum_disorders_(terminated_appraisal).pdf,,"Chronic, Nervous System, Rare Disease (Orphan Drugs)",Drug
Momelotinib for treating myelofibrosis-related splenomegaly or symptoms,Conditional,2024-03-20,Momelotinib_for_treating_myelofibrosis-related_splenomegaly_or_symptoms.pdf,2023-08,"Chronic, Rare Disease (Orphan Drugs)",Drug
"Nirmatrelvir plus ritonavir, sotrovimab and tocilizumab for treating COVID-19",Conditional,2023-03-29,"Nirmatrelvir_plus_ritonavir,_sotrovimab_and_tocilizumab_for_treating_COVID-19.pdf",,NULL,Drug
Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema,Conditional,2024-03-13,Fluocinolone_acetonide_intravitreal_implant_for_treating_chronic_diabetic_macular_oedema.pdf,2023-10,Chronic,Medical Device
Dupilumab for treating moderate to severe prurigo nodularis,Rejected,2024-03-13,Dupilumab_for_treating_moderate_to_severe_prurigo_nodularis.pdf,,Rare Disease (Orphan Drugs),Drug
Etrasimod for treating moderately to severely active ulcerative colitis in people aged 16 and over,Approved,2024-03-11,Etrasimod_for_treating_moderately_to_severely_active_ulcerative_colitis_in_people_aged_16_and_over.pdf,2023-09,Chronic,Drug
Epcoritamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,Conditional,2024-03-06,Epcoritamab_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,2023-04,Cancer,Drug
Talazoparib for treating HER2-negative advanced breast cancer with germline BRCA mutations,Approved,2024-02-21,Talazoparib_for_treating_HER2-negative_advanced_breast_cancer_with_germline_BRCA_mutations.pdf,,Cancer,Drug
Belumosudil for treating chronic graft-versus-host disease after 2 or more systemic treatments in people 12 years and over,Conditional,2024-02-07,Belumosudil_for_treating_chronic_graft-versus-host_disease_after_2_or_more_systemic_treatments_in_people_12_years_and_over.pdf,,"Chronic, Rare Disease (Orphan Drugs)",Drug
Nivolumab–relatlimab for untreated unresectable or metastatic melanoma in people 12 years and over,Conditional,2024-02-07,Nivolumab–relatlimab_for_untreated_unresectable_or_metastatic_melanoma_in_people_12_years_and_over.pdf,2023-04,Cancer,Drug
Olaparib with abiraterone for untreated hormone-relapsed metastatic prostate cancer,Approved,2024-02-07,Olaparib_with_abiraterone_for_untreated_hormone-relapsed_metastatic_prostate_cancer.pdf,2023-04,Cancer,Drug
Loncastuximab tesirine for treating relapsed or refractory diffuse large B-cell lymphoma and high-grade B-cell lymphoma after 2 or more systemic treatments,Conditional,2024-01-31,Loncastuximab_tesirine_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_and_high-grade_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,,Cancer,Drug
Ivosidenib for treating advanced cholangiocarcinoma with an IDH1 R132 mutation after 1 or more systemic treatments,Approved,2024-01-31,Ivosidenib_for_treating_advanced_cholangiocarcinoma_with_an_IDH1_R132_mutation_after_1_or_more_systemic_treatments.pdf,2023-04,Cancer,Drug
Treosulfan with fludarabine before allogeneic stem cell transplant for people aged 1 month to 17 years with non-malignant diseases (terminated appraisal),Rejected,2024-01-30,Treosulfan_with_fludarabine_before_allogeneic_stem_cell_transplant_for_people_aged_1_month_to_17_years_with_non-malignant_diseases_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
"Olaparib with bevacizumab for maintenance treatment of advanced high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer",Approved,2024-01-17,"Olaparib_with_bevacizumab_for_maintenance_treatment_of_advanced_high-grade_epithelial_ovarian,_fallopian_tube_or_primary_peritoneal_cancer.pdf",2022-11,"Cancer, Obstetrics/Gynaecology",Drug
Durvalumab with gemcitabine and cisplatin for treating unresectable or advanced biliary tract cancer,Approved,2024-01-10,Durvalumab_with_gemcitabine_and_cisplatin_for_treating_unresectable_or_advanced_biliary_tract_cancer.pdf,2023-02,Cancer,Drug
Targeted-release budesonide for treating primary IgA nephropathy,Conditional,2023-12-20,Targeted-release_budesonide_for_treating_primary_IgA_nephropathy.pdf,2023-04,Urinary-Track Diseases,Drug
Ravulizumab for treating generalised myasthenia gravis (terminated appraisal),Rejected,2023-12-20,Ravulizumab_for_treating_generalised_myasthenia_gravis_(terminated_appraisal).pdf,2022-11,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Ravulizumab for treating AQP4 antibody-positive neuromyelitis optica spectrum disorder (terminated appraisal),Rejected,2023-12-20,Ravulizumab_for_treating_AQP4_antibody-positive_neuromyelitis_optica_spectrum_disorder_(terminated_appraisal).pdf,,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Empagliflozin for treating chronic kidney disease,Conditional,2023-12-20,Empagliflozin_for_treating_chronic_kidney_disease.pdf,,"Chronic, Urinary-Track Diseases",Drug
Hybrid closed loop systems for managing blood glucose levels in type 1 diabetes,Rejected,2023-12-19,Hybrid_closed_loop_systems_for_managing_blood_glucose_levels_in_type_1_diabetes.pdf,,Chronic,Medical Device
